query1,0.02,0.03,0.02
query2,0.10,0.04,0.03
query3,0.14,0.10,0.10
query4,0.31,0.13,0.13
query5,1.76,1.67,1.73
query6,2.60,2.60,2.57
query7,0.02,0.01,0.01
query8,0.04,0.04,0.04
query9,3.33,3.15,3.33
query10,4.55,4.00,4.48
query11,0.51,0.41,0.33
query12,0.47,0.44,0.44
query13,1.69,1.68,1.63
query14,3.26,3.21,3.26
query15,2.08,2.03,2.14
query16,1.75,1.72,1.78
query17,5.22,5.80,5.51
query18,0.46,0.44,0.47
query19,8.48,8.65,10.50
query20,0.05,0.04,0.04
query21,1.50,0.49,0.49
query22,0.26,0.22,0.20
query23,1.35,0.38,0.38
query24,7.15,5.13,3.52
query25,0.25,0.24,0.24
query26,0.22,0.22,0.21
query27,0.25,0.24,0.23
query28,1.15,1.06,1.10
query29,48.14,38.94,34.15
query30,2.58,2.80,3.18
query31,0.94,0.92,0.82
query32,1.13,1.21,1.12
query33,9.65,8.90,8.94
query34,12.92,11.20,13.52
query35,13.35,10.79,11.31
query36,3.89,4.18,3.64
query37,0.17,0.15,0.15
query38,0.07,0.06,0.07
query39,0.04,0.04,0.04
query40,0.42,0.41,0.38
query41,0.03,0.03,0.04
query42,0.03,0.02,0.03
query43,0.07,0.06,0.06
query44,,,
